Key,"Spanish (Mexico), es_MX","English, en-US"
Saturday,Sábado,Saturday
SeccionMantenimiento,Sección en mantenimiento,Section under maintenance
SeDetectaBombeo,Se detecta flujo de bombeo activo,Active pump flow detected
SeEncuentraSeleccionada,Se encuentra seleccionada,Selected
SeguiremosIntentandoRestablecerConexion,Seguiremos intentando reestablecer la comunicación automaticamente...,We will continue trying to establish communication automatically...
Segundos,segundos,seconds
SeleccionaGerencia,Selecciona una Gerencia,Select a management department
SeleccionaNumEconomico,Selecciona un número económico,Select an economic number
SeleccionarDiasAccionAutomatica,Favor de seleccionar uno o varios días para la acción automática,Please select one or several days for automatic action
SeleccionarFechas,Seleccionar Fechas,Select Dates
SeleccionarFechaValida,Favor de escoger una fecha válida,Select a valid date
SeleccionarHoraAccionAutomatica,Favor de seleccionar una hora para la acción automática,Please select a time for automatic action
SeleccionaTipoEquipo,Selecciona un tipo de Equipo,Select an equipment type
SeleccioneEstacion,Seleccione una Estación del Listado,Select a Station from the List
SeleccioneTareasInstruccion,Seleccione una o más tareas.,Select one more task.
SeleccioneTransaccionesInstruccion,Seleccione una o varias transacciones de la lista.,Select one or several transactions from this list.
SeleccioneUnaImagen,Seleccione una Imagen,Select an Image
SeleccioneUnaOpcion,Seleccione una opción.,Select an option
SellDatellesDeFactura,Datelles de Factura,Invoice Details
Sello,Sello,Stamp
Sello1,Sello 1,Stamp 1
Sello2,Sello 2,Stamp 2
Sello3,Sello 3,Stamp 3
Sello4,Sello 4,Stamp 4
Sello5,Sello 5,Stamp 5
Sellos,Sellos,Stamps
Semaforo,Semáforo,Transaction color code
SemaforoDeCargas,Semáforo de Cargas,Dispatch Color Code
Semana,Semana,Week
SemanaAnterior,Semana Anterior,Prev Week
Semanal,Semanal,Weekly
SemanaSiguiente,Semana Siguiente,Next Week
SePerdioConexion,"Ooooops... Algo ocurrió, se perdió la conexión","Oooooops... Something happened, the connection was lost"
Septiembre,Septiembre,September
SeptiembreCortos,SEP,SEP
SePuedeSeleccionar,Se puede seleccionar,Can be selected
Serie,Serie,Serie
SERVICIOS,SERVICIOS,SERVICES
ServiciosResueltos,Tareas Resueltas,Solved Tasks
Si,Si,Yes
SiDeseoCancelarla,Sí deseo cancelarla.,"Yes, I want to cancel."
SinAsignar,Sin Asignar,Unassigned
SinComentario,Sin Comentario,No Comment
SinConsulta,Sin datos de consulta,No query data
SinDescripcion,SIN DESCRIPCIÓN,NO DESCRIPTION PROVIDED
SinOpciones,Sin Opciones,No options
SinPermisos,No cuenta con permisos suficientes,Your account does not have enough permissions
SinResultados,Sin Resultados,No Results
SinValor,Sin Valor,No value
SiQuieroCambiarElEstado,"Sí, quiero cambiar el estado de este registro.","Yes, I want to change the status of this record."
SistemaMSS,Sistema MMS,System MMS
Solicitado,Solicitado,Ordered
SolicitadoDomingo,Solicitado Domingo,Sunday Order
SolicitadoJueves,Solicitado Jueves,Thursday Order
SolicitadoLunes,Solicitado Lunes,Monday Order
SolicitadoMartes,Solicitado Martes,Tuesday Order
SolicitadoMiercoles,Solicitado Miércoles,Wednesday Order
SolicitadoSabado,Solicitado Sábado,Saturday Order
SolicitadoViernes,Solicitado Viernes,Friday Order
SolicitarNuevoCodigo,¿No ha recibido el correo? Solicite uno nuevo,Did you not receive the mail? Request a new one
SoloSeMuestranAnalisisDeTanquesQueNoAceptanBombeado,Solo se muestran tanques que no aceptan bombeado,Only tanks that don't receive pumping are shown
Sunday,Domingo,Sunday
TablaSinDatos,Tabla vacía,The table is empty
TablaSinResultadosFiltro,No se han encontrado resultados en los filtros,No matching results were found based on the criteria
Tablero,Tablero,Dashboard
TableroConsumos,Tablero de Consumos,Consumption Dashboard
TableroConsumosEstaciones,Consumos de Estaciones,Stations' Consumption
TableroConsumosPipas,Consumos de Pipas,Tank Truck's Consumption
TableroDeConsumosOrquesta,Tablero de Consumos Orquesta,Orquesta Consumption Dashboard
TableroMAN,Tablero Mantenimiento,Maintenance Board
TableroMonitoreoRecepcion,Tablero de Monitoreo de Recepción,Reception Monitoring Dashboard
Tableros,Tableros,Dashboards
TableroSinData,No se encontró información en este rango de fechas,No information found in this date range
Tag,Tag,Tag
Tanque,Tanque,Tank
Tanques,Tanques,Tanks
Tarea,Tarea,Task
TareaBorradaExito,¡Tarea borrada con éxito!,Task successfully deleted!
TareaCreadaExito,¡Tarea creada con éxito!,Task successfully created!
TareaEditadaExito,¡Tarea editada con éxito!,Task successfully modified!
Tareas,Tareas,Tasks
TareasMAN,Tareas Mantenimientos,Maintenance Tasks
TareasNoResueltas,Tareas No Resueltas,Unfinished Tasks
TareasQueNoAplican,Tareas que no Aplican,Task does not Apply
TareasResueltas,Tareas Resueltas,Finished Tasks
Telefono,Teléfono,Phone
Tema,Tema,Theme
TemaAceites,Tema Ligero,Light Theme
TemaBrillante,Tema Brillante,Light Theme
TemaG3,Tema G3,Theme G3
TemaOscuro,Tema Oscuro,Dark Theme
TemaQ,Tema Azul,Blue Theme
Temperatura,Temperatura,Temperature
TemperaturaFinal,Temperatura Final,Final Temperature
TemperaturaInicial,Temperatura Inicial,Initial Temperature
Terminada,Terminada,Finished
TerminoCarga,Termino Carga,Dispatch end
TerminoCargaFechaHora,Fecha-Hora fin carga,End of transaction date-time
TextoChico,Texto Pequeño,Small Text
TextoExtraLargo,Texto Extra Largo,Extra Long Text
TextoLargo,Texto Largo,Long Text
TextoMediano,Texto Mediano,Medium Text
TextoProporcion,Tamaño de Texto,Text Size
Thursday,Jueves,Thursday
TiempoCargaAbreviado,T.Carga,Transaction T.
TiempoEnDespacho,Tiempo en Despacho,Transaction Time
TiempoEnRaca,Tiempo en Estación,Time at Station
TiempoMuerto,Tiempo muerto,Idle time
TiempoMuertoEnHoras,Horas,Hours
Tiempos,Tiempos,Times
TiemposMuertos,Tiempos muertos,Idle Time
TieneLimiteCapacidadDeTanque,Tiene limite de capacidad de tanque,Has a capacity limit
TieneLimiteCapacidadTanque,Tiene Limite Capacidad de Tanque,Has limit capacity
TieneLimiteDiario,Tiene Limite Diario,Has daily limit
TieneLimiteMensual,Tiene Limite Mensual,Has monthly limit
TieneLimiteSemanal,Tiene Limite Semanal,Has weekly limit
Tipo,Tipo,Type
TipoChecklist,Tipo de Checklist,Checklist Type
TipoCombustible,Tipo de Combustible,Gas Type
TipoEquipo,Tipo de Equipo,Equipment Type
TipoEquipoPipa,Tipo de Equipo,Type of Equipment
TipoEstacion,Tipo de Estación,Type of Station
TipoEvento,Tipo de Evento,Type of Event
TipoMovimiento,Tipo de Movimiento,Movement Type
TipoPersonal,Tipo de Personal,Type of Staff Member
TipoPlantilla,Tipo de Plantilla,Template Type
TiposCheckist,Tipos Checklist,Checklist Types
TiposDispositivos,Tipos Dispositivos,Types of Devices
TiposEquipos,Tipos de Equipos,Equipment Types
TiposEquiposMAN,Tipos de Equipos Mantenimiento,Types of Maintenance Equipment
TiposEstaciones,Tipos Estaciones,Station types
TiposPlantillaMAN,Tipos de Plantillas Mantenimiento,Types of Maintenance Templates
TiposPlantillas,Tipos de Plantillas,Template Types
TiposPlantillasMAN,Tipos de Plantillas Mantenimiento,Types of Maintenance Templates
TiposReportes,Tipos de Reportes,Report Type
TiposTareas,Tipos de Tareas,Task Types
TiposTareasMAN,Tipos de Tareas Mantenimiento,Types of Maintenance Tasks
TipoTarea,Tipo de Tarea,Task Type
TipoVehiculo,Tipo de Vehículo,Vehicle Type
Todos,Todos,All
TodosLosDias,Todos los días,Everyday
TodoTiempoReal,¡Todo en Tiempo Real!,Everything in Real Time!
Tolerancia,Tolerancia,Tolerance
TonelTanque,Tonel Tanque,Barrel Tank
Total,Total,Total
TotalAAsignar,Total a asignar,Total to assign
TotalAsignado,Total Asignado,Total Assigned
TotalBombeado,Total Bombeado,Total Pumped
TotalBombeado20,Total Bombeado a 20°C,Total Pumped at 20°C
TotalCorregido,Total 20° C,Total 20° C
TotalDespachado,Total Despachado,Total Dispensed
TotalEventos,En un total de,In a total of
Totalizado,Totalizado,Totalizer
TotalizadoCorregido,Totalizado Corregido,Corrected Totalized
TotalizadoFinal,Totalizado Final,Final Totalized
TotalizadoInicial,Totalizado Inicial,Initial Totalized
Totalizados,Totalizados,Totalize
TotalizadosPorTurno,Totalizados por Turno,totalized per Shift
TransaccionConsecutiva,Transacción consecutiva,Consecutive transaction
Transacciones,Transacciones,Transactions
TransaccionesSinAsignar,Transacciones sin Asignar,Unassigned Transactions
TransaccionSiguiente,Transacción Sig. a la consecutiva,Next transaction
Transporte,Transporte,Transportation
Transportista,Transportista,Carrier
Transportistas,Transportistas,Carriers
Tuesday,Martes,Tuesday
Turno,Turno,Shift
Ubicacion,Ubicación,Ubication
UltimaActualizacion,Última actualización,Last update
UltimasCargas,Últimas Cargas,Latest Consumptions
UltimaSincronizacion,Última Sincronización,Last Synchronization
UltimaTransaccion,Ultima Transacción,Last Transaction
UltimoDespacho,Último Despacho,Last dispatch
UltimosChecklistSalida,Últimos Checklist,Latest Checklist
UltimosChecklistSalidaSinFases,Últimos Checklist sin Fases,Latest Checklist without Phases
UsoAditivo,Uso Aditivo,Uses Additives
UsoCombustible,Estado de Combustible,Fuel Status
UsoCombustiblePorLimite,Uso de Combustible por Limite,Use of Fuel per Limit
UsoPorEstacion,Combustible despachado por Estación,Fuel consumed by station
UsoPorPipas,Combustible despachado por Pipa,Fuel consumed by Tank Truck
UsoTiemposVehiculosEstaciones,Uso de Tiempos de Vehículos en Estaciones,Use of Vehicles Time at Stations
Usuario,Usuario,User
UsuarioOCorreo,Usuario o Correo,Username or Email
UsuarioRecibiraCorreoChecklist,"El personal recibirá un correo cada vez que se cree un checklist, aunque no sea el responsable.","The staff member will receive an email every time a checklist is created, even if they are not responsible for it."
Usuarios,Usuarios,Users
UsuariosEncargados,Usuarios Encargados,Users in charge
Utilizado,Utilizado,Used
UtilizaNumFolio,Utiliza Numero de Folio,Uses folio number
VaA,Va A,Departs to
Variacion,Variación,Variation
Vehiculo,Vehículo,Vehicle
VehiculoAutorizado,Vehículo Autorizado,Authorized Vehicle
VehiculoCargando,Vehículo Cargando,Vehicle Loading
VehiculoFueAutorizado,Se autorizó el vehiculo,The vehicle was authorized
VehiculoPosicion,Vehiculo en Posición,Vehicle in place
VehiculoPresente,Vehículo Presente,Vehicle Present
Vehiculos,Vehículos,Vehicles
VehiculoSaliendo,Vehículo Saliendo,Vehicle Leaving
VehiculosLigeros,Vehiculos Ligeros,Light Vehicles
VehiculosPesados,Vehículos Pesados,Heavy Vehicles
VehiculosPesadosAb,VP,HV
VehiculosPesadosVP2,Vehículos Pesados,Heavy Vehicles
VerFirmaTooltip,Presione aquí para ver la firma.,Click here to show the signature.
VerImagenActual,Ver imagen actual,Open assigned image
VerListaTareas,Ver/Editar Lista de Tareas,See/Edit Tasks List
VerManualUsuario,Ver Manual de Usuario,Show User's Manual
VerReporte,Ver Reporte,Show Report
VerReporteDescripcion,Visualiza el reporte y permite imprimirlo desde la web.,Shows report and allows to print it.
Vespertino,Vespertino,Evening
VieneDe,Viene De,Arrives from
Viernes,Viernes,Friday
ViernesCorto,VIE,FRI
Volumen,Volumen,Volume
Volumen20,Volumen a 20°C,Volume 20°C
Volumen20Grad,Volumen a 20 Grados,Volume at 20 Degrees
Volumena20Grados,VOLUMEN A 20°,VOLUME AT 20°
Volumena20GradosPorProveedor,CANTIDAD DE VOLUMEN A 20°C POR PROVEEDOR,VOLUME AT 20°C BY SUPPLIER
VolumenActual,Volumen Actual,Current Volume
VolumenAgua,Volumen Agua,Water Volume
VolumenCargado,Volumen Cargado,Consumed Volume
VolumenCargadoCorregido,Volumen Consumido Corregido,Corrected Consumed Volume
VolumenCargadoCorregidoDispositivo,Volumen Consumido Corregido Dispositivo,Device Corrected Consumed Volume
VolumenCorregido,Volumen Corregido,Corrected Volume
VolumenCorregidoDispositivo,Volumen Corregido Dispositivo,Device Corrected Volume
VolumenCorregidoFinal,Volumen Corregido Final,Corrected Final Volume
VolumenCorregidoInicial,Volumen Corregido Inicial,Corrected Initial Volume
VolumenEnLitros,Volumen en Litros,Volume
VolumenFinal,Volumen Final,Final Volume
VolumenInicial,Volumen Inicial,Initial Volume
VolumenNatural,Volumen Natural,Natural Volume
VolumenPorDias,Volumen por día,Volume per day
VolumenPorLlenar,Volumen por Llenar,Volume to Fill
Volver,Volver,Go Back
VolverAPaginaAnterior,Volver a la página anterior,Go back to previous page
Wednesday,Miércoles,Wednesday
YaAsignadsaAFactura,Ya se encuentra Asignado a una factura,It is assigned to an invoice already
YaCuentasConUnaCuentaIniciaSesion,"¿Ya tienes una cuenta?, Inicia Sesión",Already have an account?
Zona,Zona,Zone
RecuperacionCredenciales,Recuperación de Credenciales,Credential Recovery
IngresaUsuarioCorreo,Ingresa tu usuario o correo,Enter your username or email
UsuarioCorreo,Usuario o Correo,Username or Email
Contrasena,Contraseña,Password
MantenerSesion,Mantener sesión iniciada,Keep me logged in
Limpiar,Limpiar,Clear
OlvideContrasena,¿Olvidaste tu contraseña?,Forgot your password?
InstruccionesRecuperacion,Ingresa tu usuario o correo electrónico asociado para buscar tu cuenta y enviarte las instrucciones.,Enter your associated username or email to search for your account and send you instructions.
Recuperar,Recuperar,Recover
DerechosReservados,G3 Ingeniería 2026 - G+Blast,G3 Ingeniería 2026 - G+Blast
PorFavorIngresaUsuario,Por favor ingresa tu usuario o correo,Please enter your username or email
NoModulosUsuario,No se encontraron módulos para el usuario,No modules found for the user
TooltipSeleccionarRango,Presione para seleccionar un rango de fechas,Click to select a date range
EtiquetaFecha,Fecha,Date
EsteMes,Este Mes,This Month
ExpandirMenu,Expandir menú,Expand menu
ContraerMenu,Contraer menú,Collapse menu
VerPerfilAjustes,Ver perfil y ajustes,View profile and settings
VerMasInformacion,Ver más información,See more information
MonitoreoTiempoRealActivo,Monitoreo en tiempo real activo,Real-time monitoring active
UltimoGuardadoBD,Último guardado en la base de datos,Last saved to database
UltimoCambio,Último cambio,Last change
CerrarSesion,Cerrar Sesión,Sign out
Hola,Hola,Hello
BuenosDias,Buenos Días,Good Morning
BuenasTardes,Buenas Tardes,Good Afternoon
BuenasNoches,Buenas Noches,Good Evening
LimpiarFiltros,Limpiar Filtros,Clear Filters
ActualizarDatosTablero,Actualizar los datos del Tablero,Update Dashboard Data
ModuloNoEncontrado,No se encontró el módulo,Module not found
SinTextoDefinido,Sin texto definido,Undefined text
TooltipSeleccionarHoraCorte,Presione para seleccionar una hora de corte,Click to select a cutoff time
EtiquetaHoraCorte,Hora Corte,Cutoff Time
Silos,Silos,Silos
Piso,Piso,Floor
Entradas,Entradas,Inbound
TotalSemanaAnterior,Total (Semana Anterior),Total (Last Week)
Nitrato,NITRATO,NITRATE
Movimientos,Movimientos,Movements
Accesorios,Accesorios,Accessories
Configuraciones,Configuraciones,Configurations
Descargas,Descargas,Unloads
Supersacos,Supersacos,Super Sacks
AlmacenamientoAb,ALM,STR
AccesariosAb,ACC,ACC
GerenciaAb,GER,MGT
LimitesSedena,Límites SEDENA,SEDENA Limits
GestionDeAltas,Altas,Setup
ConfiguracionAplicacion,Configuración de Aplicación,Application Settings
Ajustes,Ajustes,Settings
OlvidasteContrasena,¿Olvidaste tu contraseña?,Forgot password?
IngresaTuUsuario,Por favor ingresa tu usuario o correo,Please enter your username or email
ActualizarLosDatosDelTablero,Actualizar los datos del Tablero,Update Dashboard Data
Temaaceites,TemaAceites,Oils Theme
Temaq,TemaQ,QA Theme
Temag3,TemaG3,G+Fuel Theme
Temaoscuro,TemaOscuro,Dark Mode
Temabrillante,TemaBrillante,Light Mode
Textochico,TextoChico,Small Text
Textomediano,TextoMediano,Medium Text
Textolargo,TextoLargo,Large Text
Textoextralargo,TextoExtraLargo,Extra Large Text
Textoproporcion,TextoProporcion,Proportional Text
Cerrarsesion,CerrarSesion,Logout
NoSeEncontroElModulo,No se encontró el módulo,Module not found
PresioneParaSeleccionarUnaHoraDeCorte,Presione para seleccionar una hora de corte,Click to select a cutoff time
Adm,ADM,ADM
Alm,ALM,STR
Rec,REC,REC
Acc,ACC,ACC
Ger,GER,MGT
ConfiguracionDeAplicacion,Configuración de Aplicación,Application Settings
RecuperacionDeCredenciales,Recuperación de Credenciales,Credentials Recovery
IngresaTuUsuarioOCorreo,Ingresa tu usuario o correo,Enter your username or email
OlvidasteTuContrasena,¿Olvidaste tu contraseña?,Forgot password?
IngresaTuUsuarioOCorreoElectronicoAsociadoParaBuscarTuCuentaYEnviarteLasInstrucciones,Ingresa tu usuario o correo electrónico asociado para buscar tu cuenta y enviarte las instrucciones.,Enter your username or associated email to search for your account and send you instructions.
G3Ingenieria2025SistemaControlDeExplosivos,G3 Ingeniería 2025 - Sistema Control de Explosivos ©,
NoSeEncontraronModulosParaElUsuario,No se encontraron modulos para el usuario,No modules found for user
PorFavorIngresaTuUsuarioOCorreo,Por favor ingresa tu usuario o correo,Please enter your username or email
SeccionEnMantenimiento,Sección en Mantenimiento,Section Under Maintenance
DisponibleProximamente,Disponible Próximamente,Available Soon
VerPerfilYAjustes,Ver perfil y ajustes,View profile and settings
Recuperacion,Recuperación,Recovery
CambiarContrasena,Cambiar Contraseña,Change Password
IngresaElCodigoEnviadoATuCorreo,Ingresa el código enviado a tu correo,Enter the code sent to your email
DefineTusNuevasCredenciales,Define tus nuevas credenciales,Define your new credentials
RevisaTuBandejaDeEntradaOSpam,Revisa tu bandeja de entrada o spam.,Check your inbox or spam folder.
ListoParaReenviar,Listo para reenviar,Ready to resend
NoLlego,¿No llegó?,Didn't arrive?
ReenviarCodigo,Reenviar código,Resend code
Espere,Espere,Wait
LasContrasenasDebenTenerAlMenos5Caracteres,Las contraseñas deben tener al menos 5 caracteres,Passwords must be at least 5 characters long
LasContrasenasNoCoinciden,Las contraseñas no coinciden,Passwords do not match
CambiarFotoDePerfil,Cambiar Foto de Perfil,Change Profile Photo
Nueva,Nueva,New
VistaPreviaDeLaNuevaImagen,Vista previa de la nueva imagen,New image preview
SeleccionarImagen,Seleccionar imagen,Select image
PorFavorSeleccioneUnaImagenValida,Por favor seleccione una imagen válida,Please select a valid image
GuardarFoto,Guardar Foto,Save Photo
EstaSeguroDeAsignarEstaImagen,¿Está seguro de asignar esta imagen?,Are you sure you want to assign this image?
ErrorAlSubirImagen,Error al subir imagen,Error uploading image
RolNoAsignado,Rol no asignado,Role not assigned
FechaDeRegistro,Fecha de Registro,Registration Date
VacioParaMantenerActual,Vacío para mantener actual,Empty to keep current
ContrasenaOpcional,Contraseña (Opcional),Password (Optional)
EstaSeguroDeEditarEsteUsuario,¿Está seguro de editar este usuario?,Are you sure you want to edit this user?
LimpiarFiltrosDescripcion,Limpiar Filtros Descripción,Clear Filters Description
OpcionesMenuFiltros,Opciones Menú Filtros,Filter Menu Options
ReestablecerBusquedas,Reestablecer Búsquedas,Reset Searches
ReestablecerBusquedasDescripcion,Reestablecer Búsquedas Descripción,Reset Searches Description
ReestablecerOpcionesFiltrado,Reestablecer Opciones Filtrado,Reset Filtering Options
ReestablecerOpcionesFiltradoDescripcion,Reestablecer Opciones Filtrado Descripción,Reset Filtering Options Description
ReestablecerOpcionesTotales,Reestablecer Opciones Totales,Reset Total Options
ReestablecerOpcionesTotalesDescripcion,Reestablecer Opciones Totales Descripción,Reset Total Options Description
ExportarTabla,Exportar Tabla,Export Table
ExportarTablaDescripcion,Exportar Tabla Descripción,Export Table Description
OpcionesMenuExportacion,Opciones Menú Exportación,Export Menu Options
Csv,CSV,CSV
Excel,EXCEL,EXCEL
Pdf,PDF,PDF
OpcionesTablaDescripcion,Opciones Tabla Descripción,Table Options Description
OpcionesMenuDeTabla,Opciones Menú De Tabla,Table Menu Options
GuardarConfiguracionesTabla,Guardar Configuraciones Tabla,Save Table Configurations
GuardarFiltrosDeTabla,Guardar Filtros De Tabla,Save Table Filters
GuardarOrdenDeTabla,Guardar Orden De Tabla,Save Table Order
Seleccionadas,Seleccionadas,Selected
ColumnasOcultas,Columnas Ocultas,Hidden Columns
SeparadorCeldas,Separador Celdas,Cell Separator
QuitarPantallaCompleta,Quitar Pantalla Completa,Exit Full Screen
ColocarPantallaCompleta,Colocar Pantalla Completa,Enter Full Screen
ColumnaBloqueada,Columna Bloqueada,Locked Column
TooltipMoverColumna,Tooltip Mover Columna,Drag to Move Column
DeseleccionarTodaTabla,Deseleccionar Toda Tabla,Deselect All
SeleccionarTodaTabla,Seleccionar Toda Tabla,Select All
ContraerTodaTabla,Contraer Toda Tabla,Collapse All
ExpandirTodaTabla,Expandir Toda Tabla,Expand All
OpcionFiltradoDescripcion,Opción Filtrado Descripción,Filter Option Description
OpcionFiltrado,Opción Filtrado,Filter Option
FiltroSelectorDescripcion,Filtro Selector Descripción,Selector Filter Description
Filtro,Filtro,Filter
FiltroDescripcion,Filtro Descripción,Filter Description
FiltroTimeDescripcion,Filtro Time Descripción,Time Filter Description
FiltroDateDescripcion,Filtro Date Descripción,Date Filter Description
Hoy,Hoy,Today
DeseleccionarRegistroTabla,Deseleccionar Registro Tabla,Deselect Row
SeleccionarRegistroTabla,Seleccionar Registro Tabla,Select Row
ContraerRegistroTabla,Contraer Registro Tabla,Collapse Row
ExpandirRegistroTabla,Expandir Registro Tabla,Expand Row
TituloSelect,Título Select,Select Title
GestionarPerfil,Gestionar Perfil,Manage Profile
ActualizarTablero,Actualizar Tablero,Update Dashboard
Information,Information,Information
Warning,Warning,Warning
NombreDelRol,Nombre del rol,Role Name
SeleccioneUnModulo,Seleccione un módulo,Select a module
SeleccionarTodos,Seleccionar todos,Select all
ModulosOperativos,Módulos operativos,Operational modules
LlenarDatosRequeridos,Llenar datos requeridos,Fill required data
Ip,IP,IP
EditarProductos,Editar Productos,Edit Products
CrearProductos,Crear Productos,Create Products
Color,Color,Color
CrearCorreo,Crear correo,Create Email
EditarCorreo,Editar Correo,Edit Email
NoEco,No. Eco,Eco No.
CantidadActual,Cantidad Actual,Current Quantity
EsExterno,Es Externo,Is External
Externo,Externo,External
Local,Local,Local
FechaDeCreacion,Fecha de Creación,Creation Date
Alturas,Alturas,Heights
Limites,Limites,Limits
Maximo,Máximo,Maximum
Alto,Alto,High
Bajo,Bajo,Low
Minimo,Mínimo,Minimum
Operativa,Operativa,Operating
Maxima,Máxima,Maximum
LaCapacidadDelEquipoDebeDeSerMayorA0,La capacidad del equipo debe de ser mayor a 0,Equipment capacity must be greater than 0
LaCantidadActualDelEquipoDebeDeSerMayorA0,La cantidad actual del equipo debe de ser mayor a 0,Current equipment quantity must be greater than 0
LimiteMaximo,Límite Máximo,Maximum Limit
LimiteAlto,Límite Alto,High Limit
LimiteBajo,Límite Bajo,Low Limit
LimiteMinimo,Límite Mínimo,Minimum Limit
NoPuedeSerMayorALaCapacidadMaximo,No puede ser mayor a la capacidad máximo,Cannot be greater than maximum capacity
NoPuedeSerMayorALaAlturaMaxima,No puede ser mayor a la altura máxima,Cannot be greater than maximum height
NoPuedeSerMayorALimiteMaximo,No puede ser mayor a límite máximo,Cannot be greater than maximum limit
NoPuedeSerMayorALimiteAlto,No puede ser mayor a límite alto,Cannot be greater than high limit
TodosLosLimitesDebenTenerUnValorNumerico,Todos los límites deben tener un valor numérico,All limits must have a numeric value
ConfigureLimitesValidosParaEsteDeposito,Configure límites válidos para este depósito,Configure valid limits for this deposit
ElLimiteAltoNoPuedeSerMayorQueElLimiteMaximo,El límite alto no puede ser mayor que el límite máximo,High limit cannot be greater than maximum limit
ElLimiteBajoNoPuedeSerMayorQueElLimiteAlto,El límite bajo no puede ser mayor que el límite alto,Low limit cannot be greater than high limit
ElLimiteMinimoNoPuedeSerMayorQueElLimiteBajo,El límite mínimo no puede ser mayor que el límite bajo,Minimum limit cannot be greater than low limit
ElLimiteMaximoDebeSerMayorQueElLimiteMinimo,El límite máximo debe ser mayor que el límite mínimo,Maximum limit must be greater than minimum limit
LleneLosDatosRequeridos,LLene los datos requeridos,Fill required data
ALas,A las,At
CadaHoras,Cada Horas,Every Hours
TodosLos,Todos los,Every
Y,y,y
Cada,cada,cada
Am,AM,AM
Pm,PM,PM
Deposito,Depósito,Deposit
Niveles,Niveles,Levels
Volumenes,Volumenes,Volumes
Carga,Carga,Load
Inicial,Inicial,Initial
Final,Final,Final
VerDetalles,Ver detalles,View details
VeaAMayorDetalle,Vea a mayor detalle,View in greater detail
AsignarEquipo,Asignar equipo,Assign equipment
RegistrarMovimiento,Registrar movimiento,Register movement
InventarioInicial,Inventario Inicial,Initial Inventory
InventarioFinal,Inventario Final,Final Inventory
Cantidades,Cantidades,Quantities
Movimiento,Movimiento,Movement
Registrado,Registrado,Registered
Modificado,Modificado,Modified
EditarMovimiento,Editar Movimiento,Edit Movement
CrearMovimiento,Crear Movimiento,Create Movement
Hora,Hora:,Time:
SeleccioneUnaHora,Seleccione una hora,Select a time
SeleccionarFecha,Seleccionar fecha,Select date
InformacionDelSilo,Información del Silo,Silo Information
ResumenDeCambios,Resumen de Cambios,Summary of Changes
DiferenciaDeNivel,Diferencia de Nivel,Level Difference
DiferenciaDePeso,Diferencia de Peso,Weight Difference
DiferenciaDePorcentaje,Diferencia de Porcentaje,Percentage Difference
EstadoFinal,Estado Final,Final State
EstadoInicial,Estado Inicial,Initial State
Activo,Activo,Active
SinTitulo,Sin título,Untitled
SinFecha,Sin fecha,No date
BuscarEstacion,Buscar estación...,Search station...
BuscarEquipo,Buscar equipo...,Search equipment...
MonitoreoEnTiempoRealActivo,Monitoreo en tiempo real activo,Real-time monitoring active
UltimoGuardadoEnLaBaseDeDatos,Último guardado en la base de datos,Last saved to database
MaximaOperativa,Máxima / Operativa,Maximum / Operating
NoHayDatosRecientes,No hay datos recientes,No recent data
DebeSerMayorA0,Debe ser mayor a 0,Must be greater than 0
LasCapacidadesTienenQueSerMayoresQue0,Las capacidades tienen que ser mayores que 0,Capacities must be greater than 0
LaCapacidadOperativaNoPuedeSerMayorQueLaCapacidadMaxima,La capacidad operativa no puede ser mayor que la capacidad máxima,Operating capacity cannot be greater than maximum capacity
LasAlturasTienenQueSerMayoresQue0,Las alturas tienen que ser mayores que 0,Heights must be greater than 0
LaAlturaOperativaNoPuedeSerMayorQueLaAlturaMaxima,La altura operativa no puede ser mayor que la altura máxima,Operating height cannot be greater than maximum height
NoPuedeSerMayorALimiteBajo,No puede ser mayor a límite bajo,Cannot be greater than lower limit
CantidadInicial,Cantidad Inicial,Initial Quantity
CantidadFinal,Cantidad Final,Final Quantity
DebeSerDistintoDe0,Debe ser distinto de 0,Must be different from 0
NoPuedeRetirarMasDeLaCantidadInicial,No puede retirar más de la cantidad inicial,Cannot withdraw more than initial quantity
CambiarModoClaro,Cambiar a modo claro,Switch to light mode
CambiarModoOscuro,Cambiar a modo oscuro,Switch to dark mode
ModoClaro,Modo Claro,Light Mode
ModoOscuro,Modo Oscuro,Dark Mode
RestablecerColores,Restablecer Colores,Reset Colors
PersonalizarColores,Personalizar Colores,Customize Colors
primary,Primario,Primary
secondary,Secundario,Secondary
accent,Acento,Accent
positive,Positivo,Positive
negative,Negativo,Negative
warning,Advertencia,Warning
info,Información,Info
ListaDeAcciones,Realice una acción en el registro seleccionado,Perform an action on the selected 
NoSeEncontraronPermisos,No se encontraron permisos,No permissions found
PermisosDisponibles,Permisos Disponibles,Available Permissions
GuardarCambios,Guardar Cambios,Save Changes
LLeneLosDatosRequeridos,LLene los datos requeridos,Fill required data
ModifiqueLaInformacion,Modifique la informacion,Modify the information
ElimineElRegistro,Elimine el registro,Delete the record
RegistroEditadoConExito,Registro editado con exito,Record edited successfully
# Permisos Almacenamiento - Nombres
CrearCargaDeposito,Crear Carga de Depósito,Create Deposit Load
EditarCargaDeposito,Editar Carga de Depósito,Edit Deposit Load
EliminarCargaDeposito,Eliminar Carga de Depósito,Delete Deposit Load
